CSVNumber,PrimaryActivityCode,SecondaryActivityCode,DescriptiveLabel,StartDate,UniBathWeekNo,DayOfWeek,StartTime,EndTime,DurationMins,EnjoymentScore,StartDateTime,EndDateTime
4,L418,,Tea,2021-02-26 00:00:00,22.0,Friday,07:00,07:15,15.0,2.0,2021-02-26 07:00:00,2021-02-26 07:15:00
4,R523,L418,Writing notes on The Complacent Class - Tyler Cowen,2021-02-26 00:00:00,22.0,Friday,07:15,08:00,45.0,2.0,2021-02-26 07:15:00,2021-02-26 08:00:00
4,X893,L418,Walk and work out,2021-02-26 00:00:00,22.0,Friday,08:00,09:00,60.0,2.0,2021-02-26 08:00:00,2021-02-26 09:00:00
4,O733,,"Shower, teeth and change clothes",2021-02-26 00:00:00,22.0,Friday,09:00,09:30,30.0,1.0,2021-02-26 09:00:00,2021-02-26 09:30:00
4,CW982,,"Finish post-processing, fill out this form and double check spec for task 1 and 2",2021-02-26 00:00:00,22.0,Friday,09:30,12:00,150.0,1.0,2021-02-26 09:30:00,2021-02-26 12:00:00
4,ED145,L418,Smoked salmon pasta,2021-02-26 00:00:00,22.0,Friday,12:00,12:30,30.0,2.0,2021-02-26 12:00:00,2021-02-26 12:30:00
4,R523,L418,Finished writing notes on The Complacement Class,2021-02-26 00:00:00,22.0,Friday,12:30,13:00,30.0,1.0,2021-02-26 12:30:00,2021-02-26 13:00:00
4,CW982,,Start ML2 coursework,2021-02-26 00:00:00,22.0,Friday,13:00,17:00,240.0,-1.0,2021-02-26 13:00:00,2021-02-26 17:00:00
4,L418,X893,Walk,2021-02-26 00:00:00,22.0,Friday,17:00,17:30,30.0,1.0,2021-02-26 17:00:00,2021-02-26 17:30:00
4,ED145,L418,Chorizo stew,2021-02-26 00:00:00,22.0,Friday,17:30,19:00,90.0,1.0,2021-02-26 17:30:00,2021-02-26 19:00:00
4,L418,,Movie,2021-02-26 00:00:00,22.0,Friday,19:30,21:30,120.0,2.0,2021-02-26 19:30:00,2021-02-26 21:30:00
4,L418,,Chatting,2021-02-26 00:00:00,22.0,Friday,21:30,23:15,105.0,1.0,2021-02-26 21:30:00,2021-02-26 23:15:00
5,O733,,Getting dress,2021-03-06 00:00:00,23.0,Saturday,09:15,09:50,35.0,0.0,2021-03-06 09:15:00,2021-03-06 09:50:00
